USER_ANSWER,GRAMMAR_CHECKED_ANSWER,CLEANED_ANSWER
""" Cycling is the most favorite activity. I love to do it in my free time. I cycle a lot. The next thing I love is music. I love to listen all kinds of music from a kinetic classical to western. And nowadays I have started reading most recently. I haven't read much but I love reading.""
","""grammar_checked_ans"": "" Cycling is <span style=\""background-color: yellow; color:red;\"">my</span> <span style=\""background-color: yellow; color:red;\"">favourite</span> activity. I love to do it in my free time. I cycle a lot. The next thing I love is music. I love to listen <span style=\""background-color: yellow; color:red;\"">to all</span> kinds of music from a kinetic classical to western. And nowadays I have started reading <span style=\""background-color: yellow; color:red;\"">more</span> recently. I haven't read much but I love reading.""
","""grammar_checked_ans"": "" Cycling is my favourite activity. I love to do it in my free time. I cycle a lot. The next thing I love is music. I love to listen to all kinds of music from a kinetic classical to western. And nowadays I have started reading more recently. I haven't read much but I love reading.""
"
""" I am Bhairagoda. I learnt in this session about self-introduction, my interest, goal and about our positive intent. I am a form believer in smart work. I am also a believer of team work and enjoy working with people from diverse backgrounds and perspectives.""
",""" I am Bhairagoda. I learnt in this session about self-introduction, my interest, goal and about our positive intent. I am a form believer in smart work. I am also a believer <span style=\""background-color: yellow; color:red;\"">in</span> team work and enjoy working with people from diverse backgrounds and perspectives.""",""" I am Bhairagoda. I learnt in this session about self-introduction, my interest, goal and about our positive intent. I am a form believer in smart work. I am also a believer in team work and enjoy working with people from diverse backgrounds and perspectives."""
""" In my free time, I want to visit tourist places like beaches and hill stations along with my friends. I would love to go trekking as well. It is great feeling to trek in forest. Then I want to visit temples along with my family. And me and my friends will play cricket every Sunday.""
",""": "" In my free time, I want to visit tourist places like beaches and hill stations along with my friends. I would love to go trekking as well. It is <span style=\""background-color: yellow; color:red;\"">a great</span> feeling to trek in <span style=\""background-color: yellow; color:red;\"">the forest</span>. Then I want to visit temples along with my family. And <span style=\""background-color: yellow; color:red;\"">my friends and I</span> will play cricket every Sunday.""
",""": "" In my free time, I want to visit tourist places like beaches and hill stations along with my friends. I would love to go trekking as well. It is a great feeling to trek in the forest. Then I want to visit temples along with my family. And my friends and I will play cricket every Sunday.""
"
""" It's pristine whites and beaches, freeing by crystal clear tock horses, waters, paint a picture of paradise that is nothing short of idyllic. The Maldives is undoubtedly one of the most extraordinary destinations on earth, with its unique geography making it more mesmerizing than any other tropical getaway. The beaches are not just beautiful, they are the most alluring stretching endlessly inviting you to wonder along their soft powdery shores. As the sun dips below the horizon, casting a warm golden glow over the atolls, the Maldives transforms into a magical realm. The sun sits here or not merrily breathtaking, they are the most enchanting casting spell that leaves you in the hour of nature's grandeur. The underwater world of the Maldives is a treasured drop of marine life, boasting an array of vibrant coral reefs and exotic species.""
",""" <span style=\""background-color: yellow; color:red;\"">Its</span> pristine whites and beaches, <span style=\""background-color: yellow; color:red;\"">freeed</span> by crystal clear tock <span style=\""background-color: yellow; color:red;\"">horses and</span> waters, paint a picture of paradise that is nothing short of idyllic. The Maldives is <span style=\""background-color: yellow; color:red;\""></span> one of the most extraordinary destinations on earth, with its unique geography making it more <span style=\""background-color: yellow; color:red;\"">mesmerising</span> than any other tropical getaway. The beaches are not <span style=\""background-color: yellow; color:red;\""></span> beautiful, they are the most <span style=\""background-color: yellow; color:red;\"">alluring, stretching endlessl<span style=\""background-color: yellow; color:red;\""></span> inviting you to wonder along their soft powdery shores. As the sun dips below the horizon, casting a warm golden glow over the atolls, the Maldives transforms into a magical realm. <span style=\""background-color: yellow; color:red;\"">Whether the</span> sun sits here or <span style=\""background-color: yellow; color:red;\"">is not</span> <span style=\""background-color: yellow; color:red;\""></span> breathtaking, they are the most enchanting casting <span style=\""background-color: yellow; color:red;\"">spells that leave</span> you in the hour of nature's grandeur. The underwater world of the Maldives is a treasured drop of marine life, boasting an array of vibrant coral reefs and exotic species.""
",""" Its pristine whites and beaches, freeed by crystal clear tock horses and waters, paint a picture of paradise that is nothing short of idyllic. The Maldives is  one of the most extraordinary destinations on earth, with its unique geography making it more mesmerising than any other tropical getaway. The beaches are not  beautiful, they are the most alluring, stretching endlessl inviting you to wonder along their soft powdery shores. As the sun dips below the horizon, casting a warm golden glow over the atolls, the Maldives transforms into a magical realm. Whether the sun sits here or is not  breathtaking, they are the most enchanting casting spells that leave you in the hour of nature's grandeur. The underwater world of the Maldives is a treasured drop of marine life, boasting an array of vibrant coral reefs and exotic species.""
"
""" Hi, I am Shakaraja, currently working as a CNC mission operator. I am constantly doing R&D jobs regularly to learn about a lot of new and advanced technologies. I love to play cricket and spending time with nature. I am a firm believer in the power of teamwork and enjoying working with people from different backgrounds and perspectives.""
",""" Hi, I am Shakaraja, <span style=\""background-color: yellow; color:red;\""></span> working as a CNC mission operator. I am <span style=\""background-color: yellow; color:red;\""></span> doing R&D jobs <span style=\""background-color: yellow; color:red;\""></span> to learn about a lot of new and advanced technologies. I love to play cricket and spending time with nature. I am a firm believer in the power of teamwork and <span style=\""background-color: yellow; color:red;\"">enjoy</span> working with people from different backgrounds and perspectives.""
",""" Hi, I am Shakaraja,  working as a CNC mission operator. I am  doing R&D jobs  to learn about a lot of new and advanced technologies. I love to play cricket and spending time with nature. I am a firm believer in the power of teamwork and enjoy working with people from different backgrounds and perspectives.""
"
""" Illa, Mike, Sara and they are good friends and they make a good team. They are very talented in different fields. Everyone in their team have unique skills like Illa is an artistic person. She loves to paint and to do craft work. She helps her friends in painting and doing craft things. Dave is a hardworking student who is an extrovert and he likes to speak to Mike who is an introvert. Mike is an introvert even though these 4 are one team. Mike stays quiet and he is interested only in solving puzzles and helping friends. Sara is an athletic person who loves to play sports and feels sometimes to stay alone. To make Mike feel comfortable, Sara, Illa and Dave plan to take Mike out for a camp. There Sara, Illa and Dave plan and conducted different games for Mike. Mike is a very happy person and he is very happy with them. They enjoyed a lot in the park.""
",""" Illa, Mike, Sara and they are good friends and they make a good team. They are <span style=\""background-color: yellow; color:red;\""></span> talented in different fields. Everyone in their team <span style=\""background-color: yellow; color:red;\"">has</span> unique skills like Illa is an artistic person. She loves to paint and to do craft work. She helps her friends in painting and doing craft things. Dave is a hardworking student who is an extrovert and he likes to speak to Mike who is an introvert. Mike is an introvert even though these 4 are one team. Mike stays quiet and he is interested only in solving puzzles and helping friends. Sara is an athletic person who loves to play sports and <span style=\""background-color: yellow; color:red;\"">sometimes feels like staying</span> <span style=\""background-color: yellow; color:red;\""></span>. To make Mike feel comfortable, Sara, Illa and Dave plan to take Mike out for a camp. There Sara, Illa and Dave <span style=\""background-color: yellow; color:red;\"">planned</span> and conducted different games for Mike. Mike is a <span style=\""background-color: yellow; color:red;\""></span> happy person and he is <span style=\""background-color: yellow; color:red;\""></span> happy with them. They enjoyed <span style=\""background-color: yellow; color:red;\"">the park a lot</span>.""
",""" Illa, Mike, Sara and they are good friends and they make a good team. They are  talented in different fields. Everyone in their team has unique skills like Illa is an artistic person. She loves to paint and to do craft work. She helps her friends in painting and doing craft things. Dave is a hardworking student who is an extrovert and he likes to speak to Mike who is an introvert. Mike is an introvert even though these 4 are one team. Mike stays quiet and he is interested only in solving puzzles and helping friends. Sara is an athletic person who loves to play sports and sometimes feels like staying . To make Mike feel comfortable, Sara, Illa and Dave plan to take Mike out for a camp. There Sara, Illa and Dave planned and conducted different games for Mike. Mike is a  happy person and he is  happy with them. They enjoyed the park a lot.""
"
""": "" I am Aryan Angre, a BBA student with a passion for human resources and management. I have developed good communication skills and problem solving techniques throughout my academic journey. I am confident that the skills I learnt will help me embark my goals in the business world.""
",""" I am Aryan Angre, a BBA student with a passion for human resources and management. I have developed good communication skills and problem solving techniques throughout my academic journey. I am confident that the skills I learnt will help me embark <span style=\""background-color: yellow; color:red;\"">on my</span> goals in the business world.""
",""" I am Aryan Angre, a BBA student with a passion for human resources and management. I have developed good communication skills and problem solving techniques throughout my academic journey. I am confident that the skills I learnt will help me embark on my goals in the business world.""
"
""": "" Hi, first I land out to start speaking confidently in English. Secondly, out to using vocabulary correctly, then self introduction of mind. Finally, out to speak formal and informal greetings. Please complete speech section to make one speech section.""
",""" Hi, first I land out to start speaking confidently in English. Secondly, out to using vocabulary correctly, then self introduction of mind. Finally, out to speak formal and informal greetings. Please complete <span style=\""background-color: yellow; color:red;\"">the speech</span> section to make one speech section.""
",""" Hi, first I land out to start speaking confidently in English. Secondly, out to using vocabulary correctly, then self introduction of mind. Finally, out to speak formal and informal greetings. Please complete the speech section to make one speech section.""
"
""" I like to watch movies and I like to listen to songs and I'm very interested to watch web series in different languages. I like to sketch, draw on different things. I like to play shuttle and bandminton with my friends.""
",""" I like to watch movies and I like to listen to songs and I'm very interested <span style=\""background-color: yellow; color:red;\"">in watching</span> web series in different languages. I like to <span style=\""background-color: yellow; color:red;\"">sketch and</span> draw on different things. I like to play shuttle and bandminton with my friends.""
",""" I like to watch movies and I like to listen to songs and I'm very interested in watching web series in different languages. I like to sketch and draw on different things. I like to play shuttle and bandminton with my friends.""
"
""" I am Gauri Kirtana, a VB student with a passion for marketing. Throughout my college, I have developed a strong foundation in the marketing principles. I also enjoy reading and learning about marketing news and marketing methods. I am trying to learn new things. I am confident that I have gained knowledge which will be useful for the organization I am working for.""
",""" I am Gauri Kirtana, a VB student with a passion for marketing. Throughout <span style=\""background-color: yellow; color:red;\""></span>college, I have developed a strong foundation in <span style=\""background-color: yellow; color:red;\""></span>marketing principles. I also enjoy reading and learning about marketing news and marketing methods. I am trying to learn new things. I am confident that I have gained knowledge which will be useful for the <span style=\""background-color: yellow; color:red;\"">organisation</span> I am working for.""
",""" I am Gauri Kirtana, a VB student with a passion for marketing. Throughout college, I have developed a strong foundation in marketing principles. I also enjoy reading and learning about marketing news and marketing methods. I am trying to learn new things. I am confident that I have gained knowledge which will be useful for the organisation I am working for.""
"
