USER_ANSWER,GRAMMAR_CHECKED_ANSWER,CLEANED_ANSWER
""" Maya was the only daughter of a rich businessman and she was living in a house on a river bank. She was in her sixties and unmarried. The nature was her only friend. She had a beautiful garden in front of her house. The garden had many green plants. She used to spend most of her time in the garden so that she can enjoy the chirping of birds. She used to sing beautifully along with the birds.""",""" Maya was the only daughter of a rich businessman and she was living in a house on a river bank. She was in her sixties and unmarried. <span style=\""background-color: yellow; color:red;\"">Nature</span> was her only friend. She had a beautiful garden in front of her house. The garden had many green plants. She used to spend most of her time in the garden so that she <span style=\""background-color: yellow; color:red;\"">could</span> enjoy the chirping of birds. She used to sing beautifully along with the birds.""",""" Maya was the only daughter of a rich businessman and she was living in a house on a river bank. She was in her sixties and unmarried. Nature was her only friend. She had a beautiful garden in front of her house. The garden had many green plants. She used to spend most of her time in the garden so that she could enjoy the chirping of birds. She used to sing beautifully along with the birds."""
""" For many people, exercise has become a joke and a subject for New Year Resolution. I have many friends who make resolutions to exercise regularly from the first of January, almost every year. Yes, almost every year. Because they never continue to exercise after the first week or the first fortnight, jokes apart. Another exercise is the only way to keep our body and mind fit and healthy. Try doing some light exercises regularly for at least one month and experience a difference. Exercising doesn't mean heavy weight lifting or pumping the iron in a gym. Those things are for bodybuilders. To keep ourself fit, we can make a list of exercises which can be done in the backyard of our house without using any equipment. Wish you all a happy exercising and healthy and long life.""",""" For many people, exercise has become a joke and a subject for New Year Resolution. I have many friends who make resolutions to exercise regularly from the first of January, almost every year. Yes, almost every year. <span style=\""background-color: yellow; color:red;\"">'They</span> never continue to exercise after the first week or the first <span style=\""background-color: yellow; color:red;\"">fortnight,'</span> jokes apart. Another exercise is the only way to keep our body and mind fit and healthy. Try doing some light exercises regularly for at least one month and experience a difference. Exercising doesn't mean heavy weight lifting or pumping the iron in a gym. Those things are for bodybuilders. To keep <span style=\""background-color: yellow; color:red;\"">ourselves</span> fit, we can make a list of exercises which can be done in the backyard of our house without using any equipment. Wish you all a happy <span style=\""background-color: yellow; color:red;\"">exercise and a</span> healthy and long life.""",""" For many people, exercise has become a joke and a subject for New Year Resolution. I have many friends who make resolutions to exercise regularly from the first of January, almost every year. Yes, almost every year. 'They never continue to exercise after the first week or the first fortnight,' jokes apart. Another exercise is the only way to keep our body and mind fit and healthy. Try doing some light exercises regularly for at least one month and experience a difference. Exercising doesn't mean heavy weight lifting or pumping the iron in a gym. Those things are for bodybuilders. To keep ourselves fit, we can make a list of exercises which can be done in the backyard of our house without using any equipment. Wish you all a happy exercise and a healthy and long life."""
"""Each villager would explain all the good things they did during the day. After this all are allowed to diacuss about their problems, ailments, and relationship issues with the village head. The village head would appoint a capable person to resolve the issue. At the end of the meeting the villagers who did the good things would get a cup of wine and all of them dance around the fire and disburse for the day hoping for a better morning.""","""Each villager would explain all the good things they did during the day. After this all are allowed to <span style=\""background-color: yellow; color:red;\"">discuss</span> their problems, ailments, and relationship issues with the village head. The village head would appoint a capable person to resolve the issue. At the end of the meeting the villagers who did the good things would get a cup of wine and all of them <span style=\""background-color: yellow; color:red;\"">would dance</span> around the fire and disburse for the day hoping for a better morning.""","""Each villager would explain all the good things they did during the day. After this all are allowed to discuss their problems, ailments, and relationship issues with the village head. The village head would appoint a capable person to resolve the issue. At the end of the meeting the villagers who did the good things would get a cup of wine and all of them would dance around the fire and disburse for the day hoping for a better morning."""
"COVID-19, the pandemic that shook the world in the recent past, which broke out suddenly in the year of 2019. It caused a lot of panic among us around the world. The virus spread through social media faster than the actual spread, thanks to the technology. Every morning, newspaper reported increasing number of deaths. It affected the normal life of all of us. The data of daily increase was published in a website. Many small businesses and startups shut their business due to loss. Many employees lost their jobs. Police personnel, health workers and cleaning persons worked around the clock. India could control the spread in the starting stage with the wide steps taken by our government. COVID testing centers were opened in all busy places. It caused""","COVID-19, the pandemic that shook the world in the recent past, which broke out suddenly in <span style=\""background-color: yellow; color:red;\"">2019</span>. It caused a lot of panic among us around the world. The virus spread through social media faster than the actual spread, thanks to the technology. Every morning, <span style=\""background-color: yellow; color:red;\"">the newspaper</span> reported <span style=\""background-color: yellow; color:red;\"">an increasing</span> number of deaths. It affected the normal life of all of us. The data of <span style=\""background-color: yellow; color:red;\"">the daily</span> increase was published <span style=\""background-color: yellow; color:red;\"">on</span> a website. Many small businesses and startups shut their business due to loss. Many employees lost their jobs. Police personnel, health workers and cleaning persons worked around the clock. India could control the spread in the starting stage with the wide steps taken by our government. COVID testing <span style=\""background-color: yellow; color:red;\"">centres</span> <span style=\""background-color: yellow; color:red;\"">are open</span> in all busy places. <span style=\""background-color: yellow; color:red;\"">It's</span> caused""","COVID-19, the pandemic that shook the world in the recent past, which broke out suddenly in 2019. It caused a lot of panic among us around the world. The virus spread through social media faster than the actual spread, thanks to the technology. Every morning, the newspaper reported an increasing number of deaths. It affected the normal life of all of us. The data of the daily increase was published on a website. Many small businesses and startups shut their business due to loss. Many employees lost their jobs. Police personnel, health workers and cleaning persons worked around the clock. India could control the spread in the starting stage with the wide steps taken by our government. COVID testing centres are open in all busy places. It's caused"""
"""They were dancing together and also making Pooja of there god.All are wearing wonderful dresses.later they all eat together.after dinner they go back to ther home.""","""They were dancing together and also making Pooja of there <span style=\""background-color: yellow; color:red;\"">god. All</span> are wearing wonderful dresses.later they all eat together.after dinner they go back to <span style=\""background-color: yellow; color:red;\"">their</span> home.""","""They were dancing together and also making Pooja of there god. All are wearing wonderful dresses.later they all eat together.after dinner they go back to their home."""
""": "" Our CEO controls all our employees. He pushed our employees to work fast. Few of our employees work in quality assurance and few are involved in the preparation of data reports. After the test report obtained in the company, the component sent to Assembles by adding a barcode to the object. Once parts get assembled, our testing team test the objects in the normal technology that we have. We don't need to panic about any crash involvement while testing the object. Our team is absolutely able to resolve all the problems. I am proud that I am the team leader.""","Our CEO controls all our employees. He pushed our employees to work fast. Few of our employees work in quality assurance and few are involved in the preparation of data reports. After the test report <span style=\""background-color: yellow; color:red;\"">was obtained by</span> the company, the component <span style=\""background-color: yellow; color:red;\"">was sent</span> to Assembles by adding a barcode to the object. Once <span style=\""background-color: yellow; color:red;\"">the parts</span> get assembled, our testing team <span style=\""background-color: yellow; color:red;\"">will test</span> the objects in the normal technology that we have. We don't need to panic about any crash involvement while testing the object. Our team is absolutely able to resolve all the problems. I am proud that I am the team leader.""","Our CEO controls all our employees. He pushed our employees to work fast. Few of our employees work in quality assurance and few are involved in the preparation of data reports. After the test report was obtained by the company, the component was sent to Assembles by adding a barcode to the object. Once the parts get assembled, our testing team will test the objects in the normal technology that we have. We don't need to panic about any crash involvement while testing the object. Our team is absolutely able to resolve all the problems. I am proud that I am the team leader."""
"""I am Vijay I am 1 to 10 class in andarapradesh  , i was come on Bangalore 2000 year i completed I T I completed 2004 in dynametic technologies LTD i star job in 2004 ""","""I am <span style=\""background-color: yellow; color:red;\"">Vijay,</span> I am <span style=\""background-color: yellow; color:red;\"">in 1</span> to 10 class in <span style=\""background-color: yellow; color:red;\"">Andarapradesh, I came to Bangalore in</span> 2000 year i completed I T I completed 2004 in dynametic technologies LTD <span style=\""background-color: yellow; color:red;\"">I started</span> job in 2004 ""","""I am Vijay, I am in 1 to 10 class in Andarapradesh, I came to Bangalore in 2000 year i completed I T I completed 2004 in dynametic technologies LTD I started job in 2004 """
""" Hi my name is Jeeja Bhaskar Rady. I am coming from on the plesh. I am since 2000 Bangler. Over all 23 years completed. I am studying in technical course in dynamic and in the system type. In 2024, after then we started work. Since I am working in flows of India control private limited 17 years, I am machine operator, programmer, sector.""",""" <span style=\""background-color: yellow; color:red;\"">Hi,</span> my name is Jeeja Bhaskar Rady. I am coming from on the plesh. I <span style=\""background-color: yellow; color:red;\"">have been</span> since 2000 Bangler. Over all 23 years completed. I am studying <span style=\""background-color: yellow; color:red;\"">a</span> technical course in dynamic and in the system type. In 2024, after then we started work. Since I <span style=\""background-color: yellow; color:red;\"">have worked in the flow</span> of India control private limited 17 years, I am machine operator, programmer, <span style=\""background-color: yellow; color:red;\"">and sector</span>.""",""" Hi, my name is Jeeja Bhaskar Rady. I am coming from on the plesh. I have been since 2000 Bangler. Over all 23 years completed. I am studying a technical course in dynamic and in the system type. In 2024, after then we started work. Since I have worked in the flow of India control private limited 17 years, I am machine operator, programmer, and sector."""
""" Maya is my wife. She loves me a lot. We have a big house with a small and beautiful garden. The garden is covered with green grass, plants and flowers. We like to walk slowly in the garden. There are many nest of birds on top of trees. The nature of the garden is looking beautiful and mesmerizing because of the light of sunset falling and above the trees. It's looking wow.""",""" Maya is my wife. She loves me a lot. We have a big house with a small and beautiful garden. The garden is covered with green grass, plants and flowers. We like to walk slowly in the garden. There are many nest of birds on top of trees. The nature of the garden is looking beautiful and <span style=\""background-color: yellow; color:red;\"">mesmerising</span> because of the light of sunset falling and above the trees. <span style=\""background-color: yellow; color:red;\"">Wow, it's looking</span>""",""" Maya is my wife. She loves me a lot. We have a big house with a small and beautiful garden. The garden is covered with green grass, plants and flowers. We like to walk slowly in the garden. There are many nest of birds on top of trees. The nature of the garden is looking beautiful and mesmerising because of the light of sunset falling and above the trees. Wow, it's looking"""
"""The villagers had catched a wild animal for theirs god everyday.They do worship to theirs god and they had killed that animal infront of an idol of the god. and they decided that animal's well cooked meat with the help of big fire, and they all were showed their respect and gratitude to their god,because the villagers had believes that god is the only saviour of the villagers life.""","“The villagers had <span style=\""background-color: yellow; color:red;\"">caught</span> a wild animal for <span style=\""background-color: yellow; color:red;\"">their</span> god everyday.They <span style=\""background-color: yellow; color:red;\"">worship their</span> god and they had killed that animal <span style=\""background-color: yellow; color:red;\"">in front</span> of an idol of the god. and they decided that animal's well cooked meat with the help of big fire, and they all were showed their respect and gratitude to their god,because the villagers had believes that god is the only saviour of the villagers life.""","“The villagers had caught a wild animal for their god everyday.They worship their god and they had killed that animal in front of an idol of the god. and they decided that animal's well cooked meat with the help of big fire, and they all were showed their respect and gratitude to their god,because the villagers had believes that god is the only saviour of the villagers life."""
